class_name,language,tool,version,category,param_class,method_name,benchmark_base,metric,Benchmark,Mode,Threads,Samples,Score,score_error,Unit
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,,com.bench.AbacusBenchmark.testMethod,thrpt,1,1002,0.003057,7e-06,ops/ns
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate,thrpt,1,1002,139.906247,0.328888,MB/sec
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate.norm,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm,thrpt,1,1002,48.004538,5.6e-05,B/op
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.count,com.bench.AbacusBenchmark.testMethod:gc.count,thrpt,1,1002,27.0,,counts
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.time,com.bench.AbacusBenchmark.testMethod:gc.time,thrpt,1,1002,71.0,,ms
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,,com.bench.AbacusBenchmark.testMethod,avgt,1,1002,328.092073,0.756107,ns/op
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate,avgt,1,1002,139.560236,0.310912,MB/sec
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate.norm,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm,avgt,1,1002,48.00455,5.7e-05,B/op
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.count,com.bench.AbacusBenchmark.testMethod:gc.count,avgt,1,1002,27.0,,counts
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.time,com.bench.AbacusBenchmark.testMethod:gc.time,avgt,1,1002,72.0,,ms
AreaCuadrado,Java,Abacus,v1,Rare,Code.Java.Abacus.v1.Rare.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,,com.bench.AbacusBenchmark.testMethod,sample,1,11762490,360.717568,0.236481,ns/op
