"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002697,0.000007,"ops/ns",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,123.459183,0.326629,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005144,0.000065,"B/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,371.572720,0.695391,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,123.214683,0.222991,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005151,0.000064,"B/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod","sample",1,10846036,407.086391,1.257066,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,121.513019,0.219039,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024379,0.001400,"B/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3396.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6176.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2895872.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14411.964072,2061.908144,"ns/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,94.979407,3.972740,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.421158,156.068559,"B/op",Code.Java.Abacus.v1.Refactored.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionTangente
