"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002681,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,122.696405,0.254143,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005174,0.000065,"B/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,62.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,368.918885,0.764107,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,124.112887,0.250791,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005115,0.000064,"B/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod","sample",1,11724805,410.489635,1.033583,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,119.548566,0.343323,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024526,0.001401,"B/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,400.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,501.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3356.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5984.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2633728.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14484.962076,2342.456183,"ns/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,100.711603,4.557604,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.796407,156.088586,"B/op",Code.Java.Abacus.v1.Refactored.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionOctal
