"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002696,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,123.397434,0.247384,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005147,0.000065,"B/op",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,368.827084,0.687310,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,124.133911,0.227095,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005111,0.000064,"B/op",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,62.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod","sample",1,10717515,403.713556,0.241342,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,122.214984,0.225980,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023908,0.001300,"B/op",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,66.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3419.872000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6056.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,100608.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13369.934132,1922.802716,"ns/op",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,102.844692,4.267050,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.009980,156.265257,"B/op",Code.Java.Abacus.v1.Refactored.VolumenCilindro
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenCilindro
