"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002869,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,131.312777,0.297139,"MB/sec",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004834,0.000060,"B/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,347.461529,0.750156,"ns/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,131.776180,0.276289,"MB/sec",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004816,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod","sample",1,10877286,390.387487,5.896325,"ns/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,126.488623,0.390740,"MB/sec",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022746,0.001296,"B/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,471.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3304.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5904.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,19136512.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14227.227545,1952.511831,"ns/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,95.328241,4.598199,"MB/sec",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.930140,156.285700,"B/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Hipotenusa
