"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002718,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,124.393587,0.226823,"MB/sec",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005101,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,367.546537,0.710032,"ns/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,124.567903,0.233812,"MB/sec",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005095,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,64.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod","sample",1,11812518,407.255487,0.836919,"ns/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,120.870676,0.333493,"MB/sec",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023986,0.001296,"B/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3204.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5816.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2899968.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14640.729541,2019.534815,"ns/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,94.752249,4.549307,"MB/sec",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.754491,156.102476,"B/op",Code.Java.Abacus.v1.Refactored.BuscarElemento
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.BuscarElemento
