"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002740,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,125.399674,0.288785,"MB/sec",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005064,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,370.255820,0.959742,"ns/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,123.681270,0.306724,"MB/sec",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005133,0.000064,"B/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod","sample",1,10788889,405.390199,0.241189,"ns/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,121.782001,0.363067,"MB/sec",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024062,0.001291,"B/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,411.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3444.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6008.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,192000.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15509.141717,2354.716518,"ns/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,90.931059,4.021005,"MB/sec",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.636727,156.070291,"B/op",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DiagonalMatriz
