"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002827,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,129.397860,0.284347,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004906,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,357.003716,0.993543,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,128.287145,0.351780,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004949,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod","sample",1,10862230,394.159251,0.233522,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,124.610284,0.298450,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023880,0.001486,"B/op",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,481.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3364.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6096.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,168960.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12837.815369,2069.483539,"ns/op",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,94.207538,3.722111,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.107784,156.081366,"B/op",Code.Java.Abacus.v1.Refactored.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoIMC
