"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002831,0.000006,"ops/ns",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,129.550646,0.288798,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004899,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,352.055230,0.728731,"ns/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,130.050696,0.260724,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004880,0.000060,"B/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod","sample",1,11087330,398.849696,1.623765,"ns/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,124.266917,0.332977,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023370,0.001252,"B/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,481.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3364.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5904.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2859008.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,16027.919162,2334.422685,"ns/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,96.235569,4.584222,"MB/sec",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.283433,156.078574,"B/op",Code.Java.Abacus.v1.Refactored.SumaNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.SumaNumeros
