"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002908,0.000008,"ops/ns",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,133.069268,0.345001,"MB/sec",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004773,0.000060,"B/op",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,345.212935,0.814455,"ns/op",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,132.642603,0.301933,"MB/sec",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004786,0.000059,"B/op",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod","sample",1,11086844,380.601512,0.244434,"ns/op",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,129.205862,0.301746,"MB/sec",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022602,0.001367,"B/op",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3176.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5816.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,216576.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15221.875250,1982.954073,"ns/op",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,92.388143,4.118820,"MB/sec",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.922156,156.081138,"B/op",Code.Java.Abacus.v1.Refactored.Porcentaje
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Porcentaje
