"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002728,0.000005,"ops/ns",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,124.839601,0.244090,"MB/sec",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005083,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,365.584607,0.948264,"ns/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,125.271996,0.320656,"MB/sec",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005069,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,63.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod","sample",1,11224960,404.415397,0.214318,"ns/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,121.615661,0.264969,"MB/sec",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.024069,0.001345,"B/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,491.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3384.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5976.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,109056.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12191.491018,2076.245357,"ns/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,97.887826,3.781806,"MB/sec",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.333333,156.074735,"B/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RedondeoNumero
