"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002861,0.000009,"ops/ns",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,130.935610,0.398086,"MB/sec",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004850,0.000061,"B/op",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,348.455184,0.804123,"ns/op",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,131.413363,0.294421,"MB/sec",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004829,0.000060,"B/op",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,68.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod","sample",1,10908776,387.882382,1.226982,"ns/op",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,127.004387,0.358894,"MB/sec",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022854,0.001220,"B/op",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,24.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,471.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3316.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6008.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2883584.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13143.417166,2041.983373,"ns/op",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,112.615266,4.886663,"MB/sec",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.964072,155.933869,"B/op",Code.Java.Abacus.v1.Refactored.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CaidaLibre
