"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002775,0.000008,"ops/ns",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,127.014136,0.388059,"MB/sec",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.005000,0.000063,"B/op",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,67.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,362.078309,0.781587,"ns/op",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,126.455646,0.260006,"MB/sec",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.005019,0.000062,"B/op",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,65.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod","sample",1,10787084,398.140124,0.930808,"ns/op",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,123.615244,0.260049,"MB/sec",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.023781,0.001291,"B/op",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,25.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,350.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,391.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,401.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,481.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3396.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6080.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2932736.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12211.633733,1898.306611,"ns/op",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,100.006491,3.965489,"MB/sec",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.451098,156.084677,"B/op",Code.Java.Abacus.v1.Refactored.NumerosPrimos
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumerosPrimos
