"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002897,0.000007,"ops/ns",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,132.598778,0.332445,"MB/sec",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004789,0.000059,"B/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,345.812133,0.853213,"ns/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,132.416303,0.310894,"MB/sec",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004794,0.000060,"B/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod","sample",1,11101842,382.169755,0.226236,"ns/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,129.373984,0.336014,"MB/sec",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022341,0.001174,"B/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3264.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5928.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,111488.000000,NaN,"ns/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12787.347305,1803.250454,"ns/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,115.918305,5.560213,"MB/sec",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6964.502994,156.040426,"B/op",Code.Java.Abacus.v1.Refactored.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Percentil
