"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2933.503744,13.331491,"ops/ms",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,134.283125,0.610259,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000236,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,114.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000351,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,130.295558,0.264338,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000243,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,96.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod","sample",1,22018839,0.000374,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,128.943041,0.370647,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002032,0.000442,"B/op",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,110.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000741,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004216,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.769472,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.015380,0.001965,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,78.625169,6.024411,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.640000,2.170578,"B/op",Code.Java.Abacus.v1.Refactored.NumeroMayor
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroMayor
