"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2850.952025,5.816525,"ops/ms",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,130.504620,0.266258,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000242,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,114.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000347,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,131.805859,0.467710,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000240,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,101.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod","sample",1,21831527,0.000378,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,127.843989,0.320363,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002076,0.000457,"B/op",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,117.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000782,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004256,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,0.114176,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.010076,0.001662,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,79.759921,5.610873,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.400000,6.330854,"B/op",Code.Java.Abacus.v1.Refactored.VolumenCono
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenCono
