"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2816.617851,14.475148,"ops/ms",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,128.933135,0.662607,"MB/sec",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000245,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,92.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000359,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,127.596349,0.403375,"MB/sec",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000248,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod","sample",1,21226824,0.000389,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,124.301468,0.204586,"MB/sec",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002092,0.000432,"B/op",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000841,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004304,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3.014656,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.015664,0.002841,"ms/op",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.706003,7.954604,"MB/sec",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.000000,6.783058,"B/op",Code.Java.Abacus.v1.Refactored.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.InvertirNumero
