"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2881.881738,8.582819,"ops/ms",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,131.919950,0.392863,"MB/sec",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000240,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000341,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,134.126604,0.201214,"MB/sec",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000236,0.000000,"B/op",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,101.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod","sample",1,21927388,0.000376,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,128.408649,0.175339,"MB/sec",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002044,0.000475,"B/op",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,110.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000742,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004232,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.875392,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016110,0.002039,"ms/op",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,77.404997,5.661613,"MB/sec",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.640000,2.170578,"B/op",Code.Java.Abacus.v1.Refactored.DiasAAnios
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.DiasAAnios
