"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3167.945299,14.914440,"ops/ms",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,145.014400,0.682713,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000218,0.000001,"B/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,59.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000318,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,144.038638,0.366069,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000220,0.000001,"B/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,59.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,103.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod","sample",1,24041672,0.000347,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,140.797990,0.484470,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001934,0.000468,"B/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,137.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000311,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000341,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000571,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004016,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.723840,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.017064,0.003787,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,65.878961,7.466593,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6889.680000,22.097231,"B/op",Code.Java.Abacus.v1.Rare.CalculoIMC
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoIMC
