"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2940.408149,7.486901,"ops/ms",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,134.599198,0.342694,"MB/sec",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000235,0.000001,"B/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,111.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000353,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,129.686879,0.283042,"MB/sec",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000244,0.000001,"B/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,98.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod","sample",1,22735610,0.000365,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,133.141100,0.285499,"MB/sec",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001935,0.000426,"B/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,125.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000682,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004104,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.297856,NaN,"ms/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.019404,0.003228,"ms/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,70.080902,8.357406,"MB/sec",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6885.200000,12.227761,"B/op",Code.Java.Abacus.v1.Rare.FactorialNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FactorialNumero
