"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2962.184892,9.888225,"ops/ms",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,135.596149,0.452652,"MB/sec",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000233,0.000001,"B/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,100.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000334,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,136.902190,0.554192,"MB/sec",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000231,0.000001,"B/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod","sample",1,22850666,0.000361,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,133.818110,0.194517,"MB/sec",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001973,0.000434,"B/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,115.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000370,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000661,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004184,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.633728,NaN,"ms/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016962,0.003105,"ms/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,68.803382,8.074972,"MB/sec",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.960000,15.351480,"B/op",Code.Java.Abacus.v1.Rare.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.RedondeoNumero
