"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2976.864726,12.675441,"ops/ms",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,136.267924,0.580206,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000232,0.000001,"B/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000327,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,140.083492,0.613372,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000226,0.000001,"B/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,110.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod","sample",1,22615075,0.000363,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,132.433718,0.305908,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001974,0.000412,"B/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,117.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000741,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004216,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.633728,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.020851,0.003055,"ms/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,65.390043,6.871195,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6881.280000,3.054119,"B/op",Code.Java.Abacus.v1.Rare.CalculoPropina
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoPropina
