"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2937.817639,6.650487,"ops/ms",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,134.480937,0.304408,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000235,0.000001,"B/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,99.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000340,0.000002,"ms/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,134.630076,0.829535,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000235,0.000002,"B/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,101.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod","sample",1,22448078,0.000365,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,131.456787,0.285841,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002067,0.000462,"B/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,117.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000722,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004160,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.740224,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.014452,0.002753,"ms/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,72.278857,7.941617,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.080000,18.555372,"B/op",Code.Java.Abacus.v1.Rare.CalculoVelocidad
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoVelocidad
