"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3064.706700,13.985504,"ops/ms",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,140.289165,0.640137,"MB/sec",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000226,0.000001,"B/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000329,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,139.256242,0.440028,"MB/sec",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000227,0.000001,"B/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod","sample",1,22814576,0.000361,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,133.604649,0.326662,"MB/sec",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001947,0.000449,"B/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,125.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000672,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004192,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.342912,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.013377,0.002663,"ms/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,73.751795,7.252597,"MB/sec",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.080000,18.555372,"B/op",Code.Java.Abacus.v1.Rare.PendienteRecta
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PendienteRecta
