"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2985.662541,9.745970,"ops/ms",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,136.670369,0.446126,"MB/sec",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000232,0.000001,"B/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000323,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,141.626275,0.384569,"MB/sec",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000223,0.000001,"B/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,101.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod","sample",1,22537303,0.000374,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,131.980438,0.198819,"MB/sec",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001978,0.000423,"B/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,114.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000331,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000721,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004168,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.723840,NaN,"ms/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.010978,0.001669,"ms/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,74.126032,5.114256,"MB/sec",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.000000,0.000000,"B/op",Code.Java.Abacus.v1.Rare.AreaRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.AreaRectangulo
