"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3168.627291,4.333885,"ops/ms",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,145.046362,0.198390,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000218,0.000001,"B/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,59.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,110.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000319,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,143.520806,0.503498,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000220,0.000001,"B/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,59.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod","sample",1,23550149,0.000347,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,137.918191,0.566654,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001886,0.000444,"B/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,122.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000310,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000341,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000581,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004076,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.855488,NaN,"ms/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.019351,0.003013,"ms/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,66.417486,5.296314,"MB/sec",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6887.600000,16.727097,"B/op",Code.Java.Abacus.v1.Rare.SumaPares
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.SumaPares
