"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2849.847696,6.916939,"ops/ms",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,130.453504,0.316639,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000242,0.000001,"B/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,95.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000346,0.000002,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,132.177359,0.664970,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000239,0.000001,"B/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,98.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod","sample",1,21236336,0.000387,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,124.359975,0.132765,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002114,0.000474,"B/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,112.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000802,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004211,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3.137536,NaN,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.012327,0.002232,"ms/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,76.929561,7.137948,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6887.840000,19.427951,"B/op",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroRectangulo
