"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2833.890831,13.102332,"ops/ms",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,129.723392,0.599850,"MB/sec",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000244,0.000002,"B/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,95.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000362,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,126.574536,0.353903,"MB/sec",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000250,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,98.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod","sample",1,20667650,0.000395,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,121.026552,0.203446,"MB/sec",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002182,0.000472,"B/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,49.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,123.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000882,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004288,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3.076096,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.021261,0.002625,"ms/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,60.597894,5.574246,"MB/sec",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6880.000000,0.000000,"B/op",Code.Java.Abacus.v1.Refactored.VelocidadFinal
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VelocidadFinal
