"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2941.765433,6.842116,"ops/ms",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,134.661425,0.313219,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000235,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,103.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000342,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,133.800246,0.666445,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000237,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,100.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod","sample",1,22242331,0.000372,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,130.253497,0.162755,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002005,0.000458,"B/op",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,111.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000692,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004168,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.707456,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.011508,0.001942,"ms/op",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,76.423152,6.584590,"MB/sec",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6884.240000,12.379338,"B/op",Code.Java.Abacus.v1.Refactored.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.CalculoIVA
