"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2786.628334,8.525337,"ops/ms",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,127.560007,0.390252,"MB/sec",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000248,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,113.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000365,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,125.528088,0.587860,"MB/sec",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000252,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,91.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod","sample",1,21273071,0.000385,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,124.571413,0.226144,"MB/sec",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002132,0.000456,"B/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,111.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000862,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004256,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,4.472832,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.020619,0.003286,"ms/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,65.554455,6.522021,"MB/sec",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6888.720000,20.271263,"B/op",Code.Java.Abacus.v1.Refactored.RedondeoNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.RedondeoNumero
