"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2915.060949,9.129903,"ops/ms",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,133.438727,0.417932,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000237,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,114.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000347,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,131.814559,0.468676,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000240,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod","sample",1,21902285,0.000372,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,128.258317,0.191692,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002036,0.000446,"B/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,113.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000380,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000742,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004152,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.711552,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.013814,0.003075,"ms/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,75.281638,7.446469,"MB/sec",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6884.480000,10.936978,"B/op",Code.Java.Abacus.v1.Refactored.FuncionSeno
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.FuncionSeno
