"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2817.724271,9.597711,"ops/ms",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,128.983625,0.439329,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000245,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,106.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000356,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,128.581105,0.187257,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000246,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,94.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod","sample",1,20863177,0.000395,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,122.169512,0.240484,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002200,0.000492,"B/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000932,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004408,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.670592,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.022696,0.003069,"ms/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,54.623247,5.022491,"MB/sec",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6884.480000,10.936978,"B/op",Code.Java.Abacus.v1.Refactored.MediaPonderada
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.MediaPonderada
