"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2730.528611,5.025842,"ops/ms",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,124.992155,0.230058,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000253,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,96.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000364,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,125.769145,0.240402,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000251,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,51.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,98.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod","sample",1,21082952,0.000398,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,123.462381,0.166605,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002111,0.000440,"B/op",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,106.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000360,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000451,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000812,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004288,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.854912,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.009886,0.001676,"ms/op",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,80.621922,6.171479,"MB/sec",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6881.280000,3.054119,"B/op",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.NumeroAleatorio
