"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2580.652865,6.354077,"ops/ms",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,118.131292,0.290863,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000268,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,48.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,89.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000403,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,113.600643,0.222368,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000278,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,46.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,86.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod","sample",1,38193281,0.000428,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,111.861389,0.204005,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002381,0.000535,"B/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,45.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,101.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000380,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000421,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000431,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000481,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000601,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.003808,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,1.826816,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.015561,0.004344,"ms/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,82.153402,6.341549,"MB/sec",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6886.080000,18.555372,"B/op",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.ConversionMetrosPies
