"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3034.495464,14.487584,"ops/ms",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,138.905892,0.663187,"MB/sec",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000228,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,103.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000335,0.000002,"ms/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,136.627711,0.969401,"MB/sec",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000232,0.000002,"B/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,56.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod","sample",1,22669493,0.000365,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,132.753919,0.195316,"MB/sec",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001991,0.000447,"B/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,54.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,121.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000441,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000691,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004264,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.969600,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016077,0.002859,"ms/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,71.168183,8.197449,"MB/sec",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6891.440000,32.435699,"B/op",Code.Java.Abacus.v1.Refactored.Potencia
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Potencia
