"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2861.590946,9.621818,"ops/ms",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,130.991081,0.440417,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000241,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,114.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000360,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,127.006514,0.495411,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000249,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,52.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,94.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod","sample",1,21094542,0.000389,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,123.528338,0.446448,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002107,0.000432,"B/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,50.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,110.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000350,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000391,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000401,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000411,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000811,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004336,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.662400,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.018943,0.002924,"ms/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,67.960785,5.409508,"MB/sec",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6887.200000,19.334028,"B/op",Code.Java.Abacus.v1.Refactored.VolumenEsfera
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.VolumenEsfera
