"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,2959.248604,5.350416,"ops/ms",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,135.461992,0.244917,"MB/sec",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000233,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,101.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000342,0.000001,"ms/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,133.828856,0.447653,"MB/sec",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000236,0.000001,"B/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,102.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod","sample",1,22121295,0.000373,0.000000,"ms/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,129.544802,0.407410,"MB/sec",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.002029,0.000443,"B/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,53.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,114.000000,NaN,"ms",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000340,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000380,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000381,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000451,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000711,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004312,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2.539520,NaN,"ms/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.011143,0.001706,"ms/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,79.354749,5.364041,"MB/sec",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6884.400000,14.922727,"B/op",Code.Java.Abacus.v1.Refactored.Hipotenusa
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Refactored.Hipotenusa
