class_name,language,tool,version,category,param_class,method_name,benchmark_base,metric,Benchmark,Mode,Threads,Samples,Score,score_error,Unit
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,,com.bench.AbacusBenchmark.testMethod,thrpt,1,1002,0.00277,7e-06,ops/ns
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate,thrpt,1,1002,126.759051,0.301495,MB/sec
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate.norm,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm,thrpt,1,1002,48.005009,6.2e-05,B/op
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.count,com.bench.AbacusBenchmark.testMethod:gc.count,thrpt,1,1002,25.0,,counts
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.time,com.bench.AbacusBenchmark.testMethod:gc.time,thrpt,1,1002,67.0,,ms
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,,com.bench.AbacusBenchmark.testMethod,avgt,1,1002,360.073825,0.779908,ns/op
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate,avgt,1,1002,127.159373,0.264553,MB/sec
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate.norm,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm,avgt,1,1002,48.004992,6.1e-05,B/op
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.count,com.bench.AbacusBenchmark.testMethod:gc.count,avgt,1,1002,25.0,,counts
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.time,com.bench.AbacusBenchmark.testMethod:gc.time,avgt,1,1002,66.0,,ms
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,,com.bench.AbacusBenchmark.testMethod,sample,1,10775889,394.40663,1.55605,ns/op
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate,sample,1,1002,124.963966,0.272857,MB/sec
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.alloc.rate.norm,com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm,sample,1,1002,48.023343,0.00128,B/op
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.count,com.bench.AbacusBenchmark.testMethod:gc.count,sample,1,1002,25.0,,counts
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,gc.time,com.bench.AbacusBenchmark.testMethod:gc.time,sample,1,1002,70.0,,ms
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,p0.00,com.bench.AbacusBenchmark.testMethod:p0.00,sample,1,1,350.0,,ns/op
AreaCuadrado,Java,Abacus,v1,Refactored,Code.Java.Abacus.v1.Refactored.AreaCuadrado,testMethod,com.bench.AbacusBenchmark.testMethod,p0.50,com.bench.AbacusBenchmark.testMethod:p0.50,sample,1,1,381.0,,ns/op
