"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3052.439177,7.640972,"ops/ms",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,139.727901,0.349770,"MB/sec",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000226,0.000001,"B/op",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000322,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,141.986724,0.305619,"MB/sec",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000223,0.000001,"B/op",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,58.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,105.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod","sample",1,22980393,0.000357,0.000000,"ms/op",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,134.575646,0.276282,"MB/sec",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001940,0.000418,"B/op",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,55.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,118.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000330,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000371,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000671,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004352,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3.022848,NaN,"ms/op",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.016094,0.003008,"ms/op",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,69.070727,7.470543,"MB/sec",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6890.880000,25.960010,"B/op",Code.Java.Abacus.v1.Rare.ValorAbsoluto
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ValorAbsoluto
