"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,100,3181.979422,16.435704,"ops/ms",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,100,145.656916,0.752350,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,100,48.000217,0.000001,"B/op",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,100,60.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,100,107.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod","avgt",1,100,0.000315,0.000001,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,100,145.508635,0.474439,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,100,48.000217,0.000001,"B/op",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,100,60.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,100,104.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod","sample",1,23868474,0.000346,0.000002,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,100,139.782831,0.340200,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,100,48.001861,0.000400,"B/op",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,100,57.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,100,122.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,0.000310,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,0.000341,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,0.000351,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,0.000361,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,0.000581,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,0.004016,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,12.500992,NaN,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod","ss",1,100,0.009923,0.001788,"ms/op",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,100,80.661998,5.603007,"MB/sec",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,100,6882.000000,6.783058,"B/op",Code.Java.Abacus.v1.Rare.CalculoIVA
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,100,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CalculoIVA
