"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002886,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,132.097183,0.262077,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004806,0.000059,"B/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,341.224098,0.740678,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,134.179776,0.280406,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004732,0.000058,"B/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod","sample",1,11181669,378.694359,0.228647,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,130.310736,0.301404,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022164,0.001237,"B/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,370.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3284.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5952.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,146944.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12640.495010,1869.410608,"ns/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,105.006337,4.678098,"MB/sec",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.636727,156.055323,"B/op",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PerimetroCuadrado
