"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002979,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,136.318059,0.272608,"MB/sec",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004657,0.000057,"B/op",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,332.590156,0.719273,"ns/op",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,137.672925,0.288498,"MB/sec",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004610,0.000056,"B/op",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,69.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod","sample",1,11430266,370.479814,0.829762,"ns/op",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,133.240002,0.308068,"MB/sec",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021769,0.001189,"B/op",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3164.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5904.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2719744.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,16068.510978,4987.536435,"ns/op",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,100.029980,4.619007,"MB/sec",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.089820,156.114050,"B/op",Code.Java.Abacus.v1.Rare.InvertirNumero
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.InvertirNumero
