"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003017,0.000010,"ops/ns",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,138.103110,0.437973,"MB/sec",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004599,0.000058,"B/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,331.699268,1.216353,"ns/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,138.138411,0.494435,"MB/sec",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004600,0.000059,"B/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod","sample",1,11387877,371.430849,0.811055,"ns/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,132.734582,0.315193,"MB/sec",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.021991,0.001292,"B/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,320.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3196.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6088.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2666496.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,19486.162675,2258.626878,"ns/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,71.569937,2.635117,"MB/sec",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6964.998004,156.056099,"B/op",Code.Java.Abacus.v1.Rare.PromedioArray
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PromedioArray
