"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003124,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,142.976744,0.316242,"MB/sec",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004438,0.000055,"B/op",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,319.427722,0.810508,"ns/op",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,143.366145,0.353349,"MB/sec",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004425,0.000055,"B/op",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,76.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod","sample",1,11975439,353.938269,1.033727,"ns/op",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,139.622225,0.314566,"MB/sec",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020698,0.001253,"B/op",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,310.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,360.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3024.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5824.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2629632.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13409.326347,2315.741908,"ns/op",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,104.225483,4.860972,"MB/sec",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.017964,156.098617,"B/op",Code.Java.Abacus.v1.Rare.CaidaLibre
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.CaidaLibre
