"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003160,0.000011,"ops/ns",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,144.624215,0.480921,"MB/sec",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004393,0.000056,"B/op",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,77.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,314.257325,0.762322,"ns/op",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,145.713240,0.338103,"MB/sec",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004353,0.000055,"B/op",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,77.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod","sample",1,12120158,352.416426,0.204778,"ns/op",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,141.319127,0.366690,"MB/sec",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020403,0.001199,"B/op",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,301.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3056.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5816.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,97152.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14175.660679,2458.178158,"ns/op",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,100.137931,4.685487,"MB/sec",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.956088,156.078297,"B/op",Code.Java.Abacus.v1.Rare.Percentil
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.Percentil
