"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002957,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,135.348808,0.295210,"MB/sec",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004687,0.000058,"B/op",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,348.306567,0.843617,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,131.468348,0.307411,"MB/sec",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004828,0.000059,"B/op",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod","sample",1,11254710,377.520113,0.789272,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,131.168536,0.267721,"MB/sec",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022459,0.001254,"B/op",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,380.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,460.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3336.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6152.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2555904.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14203.393214,1952.736492,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,95.698873,4.947708,"MB/sec",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.485030,156.051149,"B/op",Code.Java.Abacus.v1.Rare.EnergiaPotencial
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.EnergiaPotencial
