"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003115,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,142.559399,0.316903,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004452,0.000055,"B/op",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,28.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,319.235365,0.682777,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,143.420886,0.297181,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004428,0.000055,"B/op",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,30.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,80.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod","sample",1,12001064,352.943936,1.052178,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,139.917837,0.327175,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020673,0.001224,"B/op",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,310.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3036.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5704.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2891776.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13354.579840,2211.309047,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,99.669290,4.316606,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.780439,156.249446,"B/op",Code.Java.Abacus.v1.Rare.NumeroPrimo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPrimo
