"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002928,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,134.015812,0.303314,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004737,0.000058,"B/op",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,341.985881,0.757587,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,133.889328,0.289741,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004739,0.000059,"B/op",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod","sample",1,11128175,380.265712,1.157688,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,129.695452,0.310492,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022427,0.001291,"B/op",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,370.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3276.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5896.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2957312.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,15733.881238,1973.752805,"ns/op",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,87.679285,3.495132,"MB/sec",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.932136,156.078692,"B/op",Code.Java.Abacus.v1.Rare.NumeroPalindromo
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.NumeroPalindromo
