"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002948,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,134.939898,0.300159,"MB/sec",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004703,0.000058,"B/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,340.125158,0.862923,"ns/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,134.634639,0.330907,"MB/sec",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004717,0.000058,"B/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod","sample",1,11221251,377.507754,1.318763,"ns/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,130.783678,0.271406,"MB/sec",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022124,0.001167,"B/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3296.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5960.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2801664.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14460.011976,2323.818479,"ns/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,98.708608,4.773018,"MB/sec",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.778443,156.097877,"B/op",Code.Java.Abacus.v1.Rare.MediaGeometrica
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.MediaGeometrica
