"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003177,0.000010,"ops/ns",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,145.401288,0.440892,"MB/sec",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004370,0.000054,"B/op",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,75.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,318.200971,0.811438,"ns/op",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,143.912329,0.350133,"MB/sec",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004410,0.000055,"B/op",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,29.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,77.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod","sample",1,11951659,353.950376,1.066656,"ns/op",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,139.341088,0.305242,"MB/sec",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.020485,0.001105,"B/op",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,310.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,341.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,351.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,421.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3024.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5656.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2740224.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13180.695609,2354.698373,"ns/op",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,98.108397,4.141393,"MB/sec",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.123752,156.104703,"B/op",Code.Java.Abacus.v1.Rare.PuntoMedio
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PuntoMedio
