"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002913,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,133.330277,0.284686,"MB/sec",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004758,0.000059,"B/op",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,344.829805,1.265706,"ns/op",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,132.884591,0.482117,"MB/sec",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004781,0.000060,"B/op",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod","sample",1,11145326,379.127226,0.810741,"ns/op",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,129.914038,0.289156,"MB/sec",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022286,0.001261,"B/op",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,340.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,370.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,461.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3224.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5704.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2617344.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,13214.457086,2170.929278,"ns/op",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,101.939312,4.399172,"MB/sec",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.241517,156.097157,"B/op",Code.Java.Abacus.v1.Rare.TransponerMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.TransponerMatriz
