"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002928,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,134.011653,0.312054,"MB/sec",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004739,0.000059,"B/op",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,338.303418,0.757914,"ns/op",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,135.348537,0.292377,"MB/sec",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004691,0.000058,"B/op",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod","sample",1,11312137,374.228970,1.568620,"ns/op",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,131.829559,0.353997,"MB/sec",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022013,0.001303,"B/op",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3204.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5848.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3551232.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14540.896208,1828.387600,"ns/op",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,97.405433,4.993297,"MB/sec",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.475050,156.075269,"B/op",Code.Java.Abacus.v1.Rare.PromedioNumeros
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.PromedioNumeros
