"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002944,0.000006,"ops/ns",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,134.721020,0.278171,"MB/sec",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004711,0.000058,"B/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,337.221108,0.795908,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,135.784167,0.310224,"MB/sec",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004675,0.000058,"B/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod","sample",1,11412040,371.943290,1.555726,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,132.999045,0.328541,"MB/sec",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022003,0.001278,"B/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,441.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3276.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6000.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,3858432.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14489.694611,2317.337733,"ns/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,104.782974,4.888767,"MB/sec",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6966.427146,156.082028,"B/op",Code.Java.Abacus.v1.Rare.EnergiaKinetica
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.EnergiaKinetica
