"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002950,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,135.008337,0.328452,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004703,0.000059,"B/op",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,71.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,344.553802,1.135097,"ns/op",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,132.963502,0.431643,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004777,0.000061,"B/op",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod","sample",1,11348764,373.446034,0.235851,"ns/op",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,132.254190,0.279696,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022139,0.001253,"B/op",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3296.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6008.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,103680.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,14509.847305,2206.858115,"ns/op",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,103.578853,4.975391,"MB/sec",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.660679,156.051179,"B/op",Code.Java.Abacus.v1.Rare.ConversionOctal
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.ConversionOctal
