"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.003034,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,138.843761,0.336162,"MB/sec",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004570,0.000057,"B/op",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,73.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,332.452186,0.739838,"ns/op",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,137.719305,0.293943,"MB/sec",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004611,0.000057,"B/op",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod","sample",1,11328322,376.294965,0.849444,"ns/op",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,132.036528,0.322162,"MB/sec",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022167,0.001342,"B/op",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,450.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3236.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,5880.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,2809856.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12237.191617,1982.709838,"ns/op",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,112.605952,5.053448,"MB/sec",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6965.804391,156.077827,"B/op",Code.Java.Abacus.v1.Rare.DiagonalMatriz
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.DiagonalMatriz
