"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: className"
"com.bench.AbacusBenchmark.testMethod","thrpt",1,1002,0.002956,0.000007,"ops/ns",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","thrpt",1,1002,135.300882,0.341134,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","thrpt",1,1002,48.004693,0.000058,"B/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","thrpt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.time","thrpt",1,1002,72.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod","avgt",1,1002,336.276841,0.823606,"ns/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","avgt",1,1002,136.170361,0.324017,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","avgt",1,1002,48.004663,0.000057,"B/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","avgt",1,1002,27.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.time","avgt",1,1002,70.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod","sample",1,11287624,374.903219,2.504767,"ns/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","sample",1,1002,131.509207,0.386212,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","sample",1,1002,48.022246,0.001221,"B/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","sample",1,1002,26.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.time","sample",1,1002,74.000000,NaN,"ms",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.00","sample",1,1,330.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.50","sample",1,1,361.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.90","sample",1,1,371.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.95","sample",1,1,381.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.99","sample",1,1,451.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.999","sample",1,1,3304.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p0.9999","sample",1,1,6208.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:p1.00","sample",1,1,8036352.000000,NaN,"ns/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod","ss",1,1002,12981.709581,2108.263291,"ns/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate","ss",1,1002,104.344382,4.454096,"MB/sec",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.alloc.rate.norm","ss",1,1002,6967.417166,156.093380,"B/op",Code.Java.Abacus.v1.Rare.FuncionTangente
"com.bench.AbacusBenchmark.testMethod:gc.count","ss",1,1002,0.000000,NaN,"counts",Code.Java.Abacus.v1.Rare.FuncionTangente
